year,month,SPI,Air Tem C,VCI,monthly_total_mm
2012,1,-0.289580894,20.34212764,13.64940216,0
2012,2,-0.269272241,21.26381684,12.12133125,0
2012,3,-0.519047209,23.47509772,12.55197739,8.721345434
2012,4,-0.159375668,24.70343109,9.477383289,31.67490909
2012,5,0.205172382,24.39249347,18.85417041,83.19699089
2012,6,0.276678957,25.47191074,18.78994843,24.7814794
2012,7,-0.830528981,24.62714144,12.66464302,1.761985318
2012,8,0.67374297,25.93702851,14.12875048,20.52845597
2012,9,0.689056353,26.46740486,26.06518817,43.60037485
2012,10,-0.753223192,23.05419624,22.68856995,23.14229559
2012,11,0.159256665,22.16440734,20.50414743,12.66490039
2012,12,0.281496326,21.17132175,22.01956627,0.913603016
2013,1,-0.289580894,20.64372326,19.12690508,0
2013,2,-0.269272241,21.65815044,15.37589163,0
2013,3,0.339732913,23.55703449,20.3698616,35.73318406
2013,4,0.576747922,23.6043508,34.1098053,46.3780795
2013,5,-0.559623532,25.35490962,37.55105907,63.0947801
2013,6,-0.548414285,24.46089464,20.77044502,11.48436452
2013,7,1.092408343,23.73625932,11.92676374,9.432187579
2013,8,-0.906669681,24.88998543,14.37781182,8.162947997
2013,9,-0.384262794,26.65070213,15.18835486,28.77446179
2013,10,1.415297898,23.27441333,19.888026,71.37073478
2013,11,0.839945144,20.77076155,27.00756763,21.22343782
2013,12,-0.399043493,19.48207006,44.24366193,0
2014,1,-0.289580894,19.84131961,35.71705301,0
2014,2,-0.269272241,21.83471977,27.36633754,0
2014,3,-0.380931643,24.03475646,21.25419364,13.06672749
2014,4,-0.823799847,25.67225665,18.04199762,18.65631983
2014,5,-0.872981644,24.71945126,25.97212205,54.92676268
2014,6,0.306500079,25.62730472,16.32887173,25.24020819
2014,7,-0.024262607,24.92149509,11.55799484,5.026640643
2014,8,0.646101889,25.3806189,15.23000268,20.32097769
2014,9,0.030092491,26.06781004,26.60034821,34.51187966
2014,10,0.73145908,22.85834299,35.35955624,55.90454256
2014,11,-0.372785484,22.58383315,26.82813717,5.725052754
2014,12,-0.399043493,20.35605343,19.50461832,0
2015,1,-0.289580894,19.40064601,16.94517913,0
2015,2,-0.269272241,21.67046184,15.10321115,0
2015,3,0.111286284,23.6834869,15.34343694,28.6282076
2015,4,-0.621469754,24.42549132,15.20183756,22.62115758
2015,5,0.640236326,24.61407392,27.0703354,95.15804812
2015,6,0.526062911,25.45527979,23.56848997,28.8636083
2015,7,-0.024262612,25.21047828,18.97050269,5.026640629
2015,8,-0.945691848,25.37386996,13.75717766,7.844173385
2015,9,-0.491418816,26.83603347,15.52630791,27.23617632
2015,10,-0.252554138,23.96634447,15.4052555,34.21753781
2015,11,0.052910146,22.01780486,22.25183626,10.92560947
2015,12,-0.399043493,21.40828415,22.03501173,0
2016,1,-0.289580894,21.55682835,17.01584512,0
2016,2,0.116244937,21.83329159,14.5374865,0.566562788
2016,3,-0.490016793,26.08713439,13.07489825,9.558887835
2016,4,0.352019521,25.46528688,13.26054879,41.99590104
2016,5,-0.323954493,24.47355883,24.22269681,69.30486943
2016,6,-0.556389761,24.96722897,18.5673361,11.35405883
2016,7,-0.76142669,24.46823328,15.33243162,2.027141152
2016,8,0.252960448,24.88308475,16.15567612,17.30380771
2016,9,-1.404072,25.97334993,16.43715852,14.81714062
2016,10,-0.985677491,24.77625536,16.12243675,18.00721542
2016,11,-0.818277402,22.41075408,14.01514236,0
2016,12,-0.399043493,20.88280588,13.75256886,0
